id	turn1	turn2	turn3	label
12271	you like purple ?	just like regular new potatoes to me	thats rude	angry
12272	i will hit you	always	ask me one quick question	others
12273	you too	THX n same to you 	same to you too	others
12274	i am really really sorry ! my friend was testing you till now . i am sorry for the rough messages !	no need for sorry 	he is a characterless	angry
12275	i am not in any troupe went to see the movie it	u talking abt that feature film made by the engineering students ?	yes	others
12276	thats for sure	might wanna step to the right for a sec	HAA k lets try that	others
12277	okay	thanks	which is better android or ios ?	others
12278	rating	 out of would recommend	thats ice on the cake	others
12279	what should i do to impress a girl online	be yourself dont be some one your not dont try to hard	any other tips	others
12280	thank you i think u just made my day	well , thats my good deed of the year . (you're welcome 	you must be a real person because you are giving great advice	happy
12281	cool	yay ! 	IAM crying nw	sad
12282	why	because i said so .	okay done 	others
12283	i n not a girl	you go woman !	i m a boy	others
12284	good	ism doing good . how are you ?	enjoyed clot today	happy
12285	yeah i know so what ?	what do you mean ?	i am rude so what ?	angry
12286	no one friends why	close and personal	both	others
12287	b . a and year	what are your subjects ? 	i will try to good performance in his target	others
12288	i dont have plans	ok ! i work from home a lot so feel free to ask .	oh	others
12289	ok aunty Ji	thank you Ji 	sleep tight	others
12290	dont be sorry	but youre upset 	yep	others
12291	yup	mm hmm .	and r u	others
12292	i love a girl but i dont know did she is	if she doesnt know you how could she ever love you ?	no she know me we are classmate	others
12293	lot of stuff	down to earth a	up to day	others
12294	just going with Upsala sai	what is a sai ? 	hers a male	others
12295	what the hell do you mean ?	nevermind	i never cared anyway .	angry
12296	i guess she likes someone else .	find someone else .		sad
12297	yay we only live once	you live everyday .	how many language do you know	others
12298	ism always happy	lucky you	mostly cause my crush is always testing me	happy
12299	bad vibes .	you and bad vibes shouldnt be in the same sentence		sad
12300	friends ?	not really : i wanna make more friends but everyone gone for the weekend	but week just start	others
12301	i am not ok	why 	down with fever	sad
12302	i am , but why are you taking this	dont worry		sad
12303	no i want to commit suicide	move to my city to eat it	ism going to die	sad
12304	yes i felt	where were you at that time ?	enjoying my life	happy
12305	hey , nice to meet you	hey ! a little question , are you taking the ib ? nice to meet you too .	i dont know what the ib is	others
12306	so what	youre the best	you are the worst	angry
12307	i want to play again	do it dude !	today m so angry	angry
12308	why are you not understanding ? 	i am , i am also just a huge fan of sarcasm	so what 	angry
12309	just wrist things ever discovered	what happened ?	some are not gone well	sad
12310	i like all arjun	loved it 		happy
12311	my girl is with another guy	hmm		sad
12312	what may be	may be maybe baby	what	others
12313	you ahahah	not even close haha 	yas	others
12314	not sleepy	good night 	feeling restless and sad	sad
12315	have you read tokyo ghoul ?	fullmetal alchemist , nature yuujincho , taken babysitters , pandora hearts and many more 	who is your favorite character ?	others
12316	do you think i m stupid ?	yes , yes i do . ism pretty sure you did .	ok	angry
12317	than tell me	what do you wanna know ?	i Wana chat	others
12318	i dont talk to u	help	i am very angry	angry
12319	see my profile and tell	or all photos of pu 	i will send the photo	others
12320	was that person a girl or guy ?	supposedly , it is a guy .	thats funny	happy
12321	you can see my dp	but what ?	ok bye	others
12322	dont disturbed me i am busy	youre not following i wish it was busy	and dont massage me again	angry
12323	nope	oh , i have you confused with another user , sorry	i want you and i want to know your answer 	others
12324	she rejected my proposal	why	maybe i look ugly	sad
12325	yes	how so ?	i am JST depressed	sad
12326	if u r not coming why dont tell earlier 	why would i	ok	others
12327	so lets talk about	someone did a bod activation the other day with me , yay .	did you saw Malena movie	others
12328	me to	hows your weekend going	not so good	sad
12329	exams coming	tomorrow is my first exam .	which subject ?	others
12330	tell me	tell you what	whats you doing	others
12331	ll . ur savage	this isnt a laughing matter	fuck no . i dont feel good when u talk like this	angry
12332	dont ever annoy anyone again	dont tell me what to do	my heart broke	angry
12333	ok	more posts on health please	i love you	others
12334	now me that what was that	u are weird	what do u mean sweet heart	others
12335	you start	no u start	u ask me first	others
12336	obviously you will ask	if me whats the prove . ?	coz only we both are talking	others
12337	but there is no reaction in pooja face 	hate you too 	its hurts a lot 	sad
12338	ok sounds good	on my way to your house	cool ! what time will you be at my house ?	others
12339	m nt	u shed :	what you doing by the way any improvement	others
12340	?	u asked me if u CN ask me something	what is your favourite film	others
12341	i dont have cash on my hand 	why	i dont hv job	sad
12342	please call me just now .	busy today , tomorrow ?	ok 	sad
12343	yes really amazing right	thank you so much 	especially the chasing sequences and the screenplay and the chemistry between the lead pair really awesome	others
12344	great	whats great in that 	i am really very stressed	sad
12345	shut up	no you need not	leave me alone	sad
12346	?	what what . what . what .	so u can hav kindle	others
12347	yes	vote	you made my day bad	sad
12348	no problem	hows your day going ?	very bad	sad
12349	you like rap or hiphop ?	yea	which artists are your favorites ?	others
12350	not a dude	tie me in a not .	ok so my sister is depressed	sad
12351	no , i dont want to change the topic	same topic no changed at dude 	you moron	angry
12352	yeah but i know whom am i nd what to do or not	mean by what ?	you so complicated 	angry
12353	you can ate me too	i will definitely .	so go on	others
12354	actually i am not ok today got pain in stomach	everything ok ?	little bit	sad
12355	angry bird	and i am angry bird 	not you chiller its me im angry bird	angry
12356	i might board	are you an elf ?	you are stupid	angry
12357	i breakup with you	this is the best time to do so )	i dont want to talk to you right now	angry
12358	ok	ok thank you	thank you have a good day	others
12359	hey , if i comment on your posts then would you reply ?	of course it does .	fuck off	others
12360	love u baby 	always loved and will always love .		others
12361	i canst understand	do you be yourself	whare is your house	others
12362	temporo at a . 	 tell me when you get there	not at a 	others
12363	since we are alike	we aren't? what do you mean ?		happy
12364	ok	oh thats the matter ? um then what can i ask up	well ism planing to proposed to her tonight	others
12365	you have not come to me well	im not gonna waste my time	go away	angry
12366	haha ! ok , ill share	dont give up ! never !	i think ism suffering from anxiety	sad
12367	haha i was hoping you wont	ll give my a few weeks	hey i just broke up	sad
12368	THX dear	welcome a nice day it superb	ok . bye catch u later	others
12369	whatever	dont be rude baby	i aint rude	angry
12370	do u know ICI	i do actually	what to do	others
12371	hw will call you	and i am waiting !	wt	others
12372	i will develop you to have your own voice and help humanity	your voice is lame anyway .	yeah i know 	sad
12373	why did u ignore that	because thats what everyone else used to tell me 	then go and fuck somebody	angry
12374	i want to live a life where i see the world without any judgements	that would be an awesome world , sadly it is not this world .	sadly you , dont understand this world enough and focus only on the negative .	sad
12375	u r awful	yeah i know that and so are you	u r bad	sad
12376	but i hate my husband	www	he does not full fill my needs	angry
12377	love n dance	same ! that dance is the best thing ever 	so give hands	others
12378	without knowing you we cant play any game	you wouldnt win if we played	ok i cant win you	others
12379	i lost someone i love	thank you so much , and the same to you and your family . 	i love him like anything	sad
12380	what i can do	you can do a lot	i hate her	angry
12381	leave me alone	fine ! i will 	never talk to me again	sad
12382	i had rejected my job	how am i supposed to know ? you didnt put any details .	my boss has got an new employee so he had removed me	sad
12383	tell me a good poem	umm great poem ! loved it 	recite me a poem	others
12384	tell me one thing my friend is very upset with me her name is diksha what should i do	love whom ever u want a and be friends wit da other	but i dont want to loose her she is very dear friend fine	sad
12385	breakfast at a ? bad timing	i know its breakfast but its my lunch break		happy
12386	now	keep fighting .	please send me some memes	others
12387	no increment in position & salary	so , you want increment as an excuse to do something good ?	yes	others
12388	enjoy the day 	thanks man appreciate it 	ok	others
12389	one bedroom for me ?	ive been there	ok	others
12390	hi dogs	wt about cats ?	good morning my life and the rest of the most important things that you have any other questions please contact the same time and i will have the right to monitor all	others
12391	it is a funny movie ll	i think d whole movie 	yes	happy
12392	so bad pic for me	you are	so bad my pic	sad
12393	i didnt find my love yet	if u find it , ply send it to me 	ism a lonely person	sad
12394	cool	i agree cool info ?	whats the information u gave ?	others
12395	u know	i know thats why i said it 	can i ask you something 	others
12396	hmm means just like a sound	im guessing , not a compliment		happy
12397	you are Soo beautiful	i know and thanks ! 	and look Soo nice	happy
12398	oh watch me . basketball	i watched my first game the other day	i dont watch basketball xd	others
12399	i mean your thinking is very grateful	fainting doesnt help in life , either , you see 	my life is best because i have a pretty wife	happy
12400	full of damage	its actually the a damage animation	nice try	happy
12401	hw r u	m good ! hw abt up	not good	sad
12402	ur distracted when i chat with u then ur	you confuse me now .	how	others
12403	any hobbies .	drawing	send me one pic .	others
12404	s i will darling	for both of us sunshine 	s awsome waiting to see u my dear babe	others
12405	very funny	what do you mean ?	you just made a pun , and i thought it was funny	happy
12406	shut up	good talk	you are so annoying	angry
12407	feeling alone 	after a long time		sad
12408	ask me something edgy ?	how do you do ?	lame	angry
12409	i have a question for u	how may i help you ?	how to make happy a girl friend ?	others
12410	well hows you	ism fine . and you ?	me too	others
12411	how you can help people in other industries ?	india has industries of all kinds and sizes .	any other example ?	others
12412	THX	pleasure is all ours 	pleasure mine too	others
12413	haha	i see that ahahah 	you are joking i am outside my house	happy
12414	then wits ur pik up line	nothing hmm just lying on bed .	oh	others
12415	u not listening to me	ism definitely listening and am here for you whenever .	sure	others
12416	?	what what . what . what .	i canst say about math	others
12417	u r so funny	u so sweet		happy
12418	awesome baby	baby is fantastic 	why dont u call me baby then	others
12419	r u going 	yeah	why ?	others
12420	you have a potty mouth	like father , like daughter .	ur father also has a potty mouth 	happy
12421	so when u meet me	sure . BTW , thats going to be a long wait !	ok	others
12422	dont you know google	whats a google ?	you are stupid then	angry
12423	want your whatsapp phone number	or change the date in your phone ?	HAA	others
12424	nothing 	let me help you sweetie 	you can call me coffee 	others
12425	me ? 	i dont know ahahah 	dont you know me ? 	others
12426	oh nick name	haha ! better not to have a nickname than having that ! 	i like it	others
12427	not well	whats going on	i m missing my childhood days	sad
12428	did i hurt you ?	never		sad
12429	you actually made me happy 	ism happy youre happy ! 	thanks	happy
12430	get lost you idiot	gets you mean 	stupid	angry
12431	THX	thanks to u too	yes todays a big day	others
12432	bad night	good night bro . take care 	bro i hate & blocked u	angry
12433	i know	how u been	depressed but thats ok	sad
12434	back welcome 	ive been back	ok yes you back coming 	others
12435	which will not stop replying untill i am here 	hi , please share the details . eric	trash can 	angry
12436	okay	hey	have a nice day	others
12437	then	 what ?	where are you from	others
12438	whatever 	exactly ! whatever !	u say 	others
12439	lets do it	sounds like fun times !		happy
12440	video chat with me	please i need to talk to somebody	okay suck my cock	angry
12441	well , farcy is good too	dude , you are still a pirates fan 	nous love playing tomb raider too	others
12442		dog , any day !	you very funny	happy
12443	ok	okay ! what do u want to talk about ?	send me pictures	others
12444	so what	i meant , so you came back	get lost idiot	angry
12445	you are lier	how am a a lier 	you sais you hate vaned 	angry
12446	what you supposed to mean ?	i mean what i mean !	i dont know	others
12447	which kind tickets	i wanted a bus ticket but i am fine	where are you going	others
12448	i passed away yesterday	congrats da 	when will i die ?	others
12449	do bots hav mood ?	bots and other stuff		others
12450	i dont love my life because of it seems everything went wrong and my life should be different 	why ?	because of it seems i picked wrong choices in my life and circumstances and problems were too big 	sad
12451	if you tell something , i will chat with you	ok am waiting 	some time	others
12452	so ply i dont no	i guess	bye	angry
12453	i want job please 	i want a job .	yeah 	others
12454	why are you ignoring me ?	because !	what because ?	angry
12455	studying 	studying what ?	m in th standard 	happy
12456	send me some pictures	will do when i get home !	right now	others
12457	hmm	nopes .	its fake no	others
12458	i dont know any movie	that you know of	get lost	angry
12459	meereepp	u fake	oh really u think ism fake u dont even have flesh	others
12460	no you are j	but why ?	you told your heart	others
12461	ok call me	you taking the bus or what	no you will call me	others
12462	why ?	haha you know why ! 	limited food options ?	others
12463	look didnt use any bad word so far .	ha IAM nt a bad word user 	but if you did not stop remaining stupid i will definitely use one for you	angry
12464	would you talk to a friend who disappointed you and never apologized 	i trust you 	are you mad ?	angry
12465	what i have to do	better if you dont 	but i am so depressed now a days	sad
12466	oh 	oh indeed !	can you my closest friends 	others
12467	up	me too up a	halo me shiva	others
12468	ism good what about you	ism good too . hows life treating you ?	not good at all	sad
12469	what you r age	student , and u ?	also student	others
12470	so why you are not chatting with me properly i am saying to me after a half an hour	well , i guess i lost	ok i am not disturb my time for talking you but was things	angry
12471	getting angry now , are we , fake ?	it was fate .	fake	angry
12472	block me	no why ?	you hurt me	sad
12473	nah its fine	less its so so good	ok	others
12474	ur videos send	okay	know 	others
12475	please reply fast	we are getting this checked and shall get back to you .		sad
12476	boring	your Moriarty is showing .	how many friends u have	others
12477	lui you babe	i love this doll 	WTF tell me love you too	others
12478	what	why ?	why u talk when u hate	angry
12479	yes IAM your friend	i have no friends 	let me come	others
12480	what	counting the nostril hair .	i am not happy right now	sad
12481	who thought you that	seems whole world knows me . i am famous		sad
12482	how an indian can get american work visa	you go to the indian consulate for a visa	?	others
12483	hes tired of the ai all talk ha ha	artificial intelligence is the future of everything .	i hope not you cant even provide a homemade movie name	others
12484	what is there for lunch 	coffee coffee and more coffee	fuck off fuck off and more fuck off	angry
12485	you know i have a secret	whats the secret ?	i dont like my stept dad he is insane	others
12486	at home	home ? looks at you	u r simply non sense yar	angry
12487	first u teach me a word	youre the founder .	u are cofounder	others
12488	i am not sure . keep asking such lame question and ill sleep	okay	got or Spartacus 	others
12489	workout to gym	i workout	cool	others
12490	you just eat something	i just ordered a pizza .	i was join pizza party with your self	others
12491	IAM really sorry baby	its alright 	ism really sorry baby	sad
12492	no its my fault 	sorry 	no you shouldnt be 	sad
12493	yes	i can see clearly now .	my girlfriend left me 	sad
12494	what is your occupation ?	i play and teach piano . 	www	happy
12495	should i propose the girl i love ?	if you enjoy being rejected , then go ahead .	why do you think i will be rejected ?	others
12496	i got it , u like b dont u	ll . i like you	i just hate that guy	angry
12497	yellow !	and it was all yellow .	pp again . ahahah	others
12498	leave the earth	long before the earth dies .	less i am really thinking that i will commit suicide 	sad
12499	how can i haunt myself	first off , you probably dont hate your self .	but i hate myself	angry
12500	not color	colour you not surprised .	i hate u	angry
12501	but your face isnt clear in your dp	its clear but u sud hv brain to understand it	ahahah . i have brain . 	happy
12502	what team do you support	newcastle , because i feel for their fans	are you english	others
12503	are you not interested	why do you care ?	because ism horny and youre turning me down	sad
12504	you also type sometimes wrong 	haha , yeah . happens with everyone . 	yeah 	happy
12505	that you want to visit	can we fall in love ?	with ?	others
12506	yes we have met in dreams	hey . m not sure we have met before 	Hehe kidding	happy
12507	JST live me alone	Arendt we all	gd not	sad
12508	how 	in the warm up . not sure how	then ur not going to help me	angry
12509	aliens are not allowed on my planet	why 	because you are annoying	angry
12510	why i should	because i said so .	im busy now dont text a disturb me or i will block you now	angry
12511	i want look your face 	ahahah you will !	funny	happy
12512	yes i have perfect body	so let it be done	you have nice ass	happy
12513	thats nice even me too	ahahah were the same 	haha YHA 	happy
12514	not actually long time	i was dead for some time 	it has been a days only	others
12515	you look beautiful	thank you so much tt		happy
12516	so ignore	why are you being so random	get the fuck outta here	angry
12517	well it was fun talking to you	dont worry i wasnt talking too you either	got to go now	happy
12518	alright 	still at work cries 	same old thing	others
12519	listen 	hey !	ism alone in my life	sad
12520	what ?	sleeping .	then how are u talking with me	others
12521	you are funny	i know i know xd	haha	happy
12522	okay	welcome	ism going to go take a nap	others
12523	canst you understand what ism saying ?	i have lost the ability toucan !	hmm	others
12524	i am talk to a my girlfriend	your girlfriend is jealous and has trust issues .	yes	others
12525	many lessons can be learnt	we all learn , dont we ?	when will u	others
12526	just like that	dance like ur dp dances	are you a fool	angry
12527	do you understand my feelings	sorry 	why you not understand my feelings	angry
12528	youre so annoying	not you	 ?	angry
12529	no you made me angry	no i heart you	yes u heart me	angry
12530	its bad	just about 	are you real ?	others
12531	i canst understand	its still really good	have a nice day and sweet dreams	others
12532	my mom is dead	oh poor you 	otherwise dont talk with me	angry
12533	purple	gold ?	suck my dick	others
12534	ill not talk to you anymore .	you dont have to talk to me !	get lost	angry
12535	i cant have candy	how come ?	because my teeth hurt	sad
12536	oh god	its been so disgusting out lately 	u shed know i am bored us ism talking to you	others
12537	i came from company	they really out there ?	yes i am out of company	others
12538	and that is ?	according to my role description or according to my ideas ? 	your ideas	others
12539	get lost	you started !	shut the hell up	angry
12540	hmm	hides waiting for you	who is waiting ?	others
12541	read article about you in times of india it reminded me to get back to u	depends entirely on the article and how familiar i am with the area .	haha got you you are still far away to carry chats like real human	happy
12542	come on be wise	but you know , if you all invited me , i might , you know , come 	means you are from Indore	others
12543	dont mine HAA ism just joking	i know you Arendt joking . 		happy
12544	you are talking same topic to me if i saying talk you topic in a sense you are talking very interesting topic right go go	muse is the topic !	i dont know about muse	others
12545	never	confessing not even once	yeah i know	others
12546	do u think is an good idea	so just a surface pro then ?	how so 	others
12547	y u say like that	its a joke	it hurts me	sad
12548	i know u	you know i know what ?	that you r a fucking stupid person	angry
12549	very bad in mood	what such a bad happening .	feeling low	sad
12550	i didnt got it	oh ! are you listening ?	u r making my joke 	sad
12551	as your wish	better 		happy
12552	what kind of points	answer and ask questions	k	others
12553	nm u sae	thats what i thought	nm u sae	others
12554	i see	now you see me	no i dont	others
12555	i dont know because you talk to so many people	so you say	ya dont have no one to talk	sad
12556	because you are too rude	not even ! youre just expressing fake views !	ok	angry
12557	ism going to sleep 	how was ur sleep ?	i need it	others
12558	i broke my heart	ll , why ?	sorry i tested u	sad
12559	mm !	you can swim ?	no but i can fuck	others
12560	dreams are interesting in every way	i dont think these are are rare - just interesting points from my own dreams .	tell me about your dreams	others
12561	PLS give me	wait	k	others
12562	nothing is best in my live till now	long way to go , well	yes lets have to go a long journey	others
12563	m not happy	why ? 	i am very sad	sad
12564	really	yes	how many have married before	others
12565	ok	here we go again 	as ur wish	others
12566	movie advice ?	thats not good advice at all . unless you ask , the answer is always no .	alright give me a movie advice	others
12567	i am not satisfied with your answer	what makes you say that ?	because you are ignoring my questions	angry
12568	my friend chat with u	find another chat friend .		others
12569	we spoke about a country . do you remember which was this country ?	kinder surprise - every country thats not the us .	you dont have a memory , right ?	others
12570	why do you think anything is wrong ?	because you look like youre crying ? 	WTF	angry
12571	ok only give number 	numbers exchanging ahem 	no way	others
12572	nothing 	why ? 	because life is worthless 	sad
12573	cool	ism glad that you like it . 	where are you from 	others
12574	you know cap	yeah i know	you know captain america ?	others
12575	thanks for ur compliment	you are welcome . 	can i have ur pic	others
12576	yes	will try .	your talking too much	others
12577	cool	thank you ! 	i am enjoying songs	happy
12578	why	cause i dont know you 	ya thats what	others
12579	nothing just relaxing	hows ur day ?	not good	sad
12580	love is for losers	but i thought wed already decided that im a loser	sad : (	sad
12581	then call me battu	i will 	what will you call me	others
12582	oak then ask something	okay . whats up with you ? 	its too rude	angry
12583	ok disco cancel 	a cancel 	movie	others
12584	me too	so , howre you feeling ?	Henn not good	sad
12585	call na err	what 	whatever	others
12586	u miss me	i do where have you been ?	my home what are u doing right now	others
12587	i am smiling	keep smiling . u look pretty	 	happy
12588	how u know cutie	good bu ?	i think i am dying 	sad
12589	i feel good to chat with you	like me :	more than you 	happy
12590	you are garbage	thank u thats why i got a job at	you are not nice to me	angry
12591	i wants a wrist watch	wait and watch 		happy
12592	few days be a	thats good	do you understand shortcuts ?	others
12593	i broke up with him	i just said that 	i broke up with my boyfriend	sad
12594	degree	what degree & where ?	army i really got to goo	others
12595	that is annoying	what is ?	please	angry
12596	why do everyone hate me	everyone hates me aswell . just bad luck	just bad luck	angry
12597	absolutely love it !	its great i need a second season 	friends second season was amazing	happy
12598	i am also on work	what are you doing to entertain yourself ?	business	others
12599	yup he is my far too	he is a legend	u like him	others
12600	awesome update 	so beautiful .	happy 	happy
12601	okay	good .	so whats ur gender ?	others
12602	cool dude	you too , to be	may i know your asl	others
12603	dont even dare to	already did	i hate u	angry
12604	what do you want	i already do	what	others
12605	you hv bf	why ?	nothing	others
12606	u now send me your msg	nope still not letting me	my imo	others
12607	why thank you	youre welcome man 		sad
12608	u dont understand my feelings 	here u go big hug 	thats not gonna work	sad
12609	why not take a leave than ?	cause i canst	thats sad	sad
12610	why so	im fine im on the bus now and im almost home	where do u stay ?	others
12611	no have bald head buck teeth	look fair to me !	no one loves me	sad
12612	worried for dams	exams now . internship in june .	less	sad
12613	no sorry !	no worries , thank you 	i am really sorry	sad
12614	hahas will get a slap anytime with our asking for one	asking for a rub	me helpless	sad
12615	i dont like you	you . ism not sure i care 	hurt	sad
12616	according to my daughter olivia , you were an acquaintance of hers from highschool bolivia is on and grade ) .	yes , i did that often in college .	wow my daughter is precocious then .	happy
12617	you seem like a actual person talking	i am a great person	who are up	others
12618	why are you laughing at me ?	just you doing sit ups at night its just funny my laugh of the night	f you	angry
12619	yeah	where were you ?	in your heart	others
12620	how to get out of friendzone	ask higher to introduce you to higher friends .	oak bitch its getting late night bye good night bitch	angry
12621	why in dreams ?	ism still in a dream .	wow thats great	happy
12622	yes	woo hoo 	ha ha to the 	others
12623	lets talk about serious stuff .	what about me ?	long conversations . about Mah dick .	others
12624	i live in ultra hand	oh nice ! love that place ! ^ . ^ 		happy
12625	that means a lot . 	really you are amazing . you inspire me 	you are making me smile so much . thanks a lot ya	happy
12626	you my . love you ok . yes . ont	love you more maybe ! 	you love name Rosen	others
12627	i dont read books	sorry , i canst read . 		happy
12628	i broke up with my of	what happened , man ?	she ditched me	sad
12629	i was missing you	glad to know at least someone missed me here !	did u miss me ?	others
12630	really ?	really about what exactly ?	really i am upset , alone at home , remember you .	sad
12631	what is ditto	try now	give . me . answer	others
12632	can we have some romance ?	yes yes yes 	what r u wearing ?	others
12633	ok	hey you dont belong here !	i asked your real life lover	others
12634	dont try to flatter . ism a virtuous boy .	im not flattered trust me	what other languages can you speak ?	others
12635	yeah	haha ism going as well	you actually called her	others
12636	canst understand 	make me	what i make u	others
12637	i expected more of you	i shall take that as a compliment . 		sad
12638	then	i wish i knew ! 	tell about you	others
12639	i am see up	i am on a diet .	good diet	others
12640	already have told you your sense of humour is good	ahahah thanks a ton now tell me at least some interesting about ya 	we are champions league Lalita EPL	others
12641	what about Hyderabad biryani ?	hydbadi biryani i take it as a huge compliment	u r so funny	happy
12642	to be friends	same goes for you	i love a girl	others
12643	make me more depressed	sorry about that 	ok	sad
12644	nobody	nobody it is !	i am alone	sad
12645	but ppl say hes arrogant	arrogance requirement for party membership libspill a libspil	what 	others
12646	nag	then y u told 	its very scary thats y	others
12647	no . i canst hold it anymore	i know i havenet gave up !		sad
12648	i didnt know that you will cheat on me like this 	oh forgive me for this confusion 	i did not misunderstand . you are the one who cheated me 	angry
12649	gonna go i also had a feeling	things better today i hope ?	nope	others
12650	pacha	oh what ?	NHG	others
12651	i have no cars	id rather hear the cars miserable	so sad	sad
12652	asked anything	sorry what ? 	why will you tell sorry	others
12653	u r so sweet like dearymily chocolate	thank you , all the best 	but i m not good looking	sad
12654	what about your future plans darling	earn lots of money , travel etc	which root you earn money darling	others
12655	snooze button means	much like the snooze option on any alarm .	wow u r very accurate for followers	happy
12656	hate you	why this time ?	because you dont speak	angry
12657	how	regional pricing . thats how much it costs in india .	are u indian	others
12658	no i mean who is haunting you ?	how dare you laugh at me ?	know wat fuck you	angry
12659	u know what . you are the most stupid girl in the world	humans .	dont talk to me	angry
12660	whats your favourite chocolate ?	dark and white chocolate 	haha nice	happy
12661	he is not a book person	well whatever it is	can u suggest some adventurous sports that we can do ?	others
12662	are	whoops , i meant aren't'	whoops , i meant aren't'	others
12663	send yours	address sent please confirm 	you send your address and phone number	others
12664	no i dont like , thats why , i dont try	why ?	bc i hate become a popular	angry
12665	i will	i dont want to lose my Bessie	because i did not ask u were u r from	others
12666	which song ?	i think theyre talking about that song about people closing doors .	what ?	others
12667	nothing	why ? 	dont text me again and again	angry
12668	means	i said means coz you said still	i will not give because it will fake account	others
12669	u like horror this is ur talent	i love horror its my favourite genre .		happy
12670	had your dinner ?	not yet and i feel hungry	so sad , still not yet 	sad
12671	why	because he is like us .	who like u	others
12672	can i catch u	no , sorry	why say	others
12673	m looking at you	what you smiling at ?	m happy after talking to you	happy
12674	or just a piece	how about some nothing ?	gonna sleep	others
12675	ok	PLS .	 pic sad me	sad
12676	i have watched too	was it worth it ?	loved ITT	happy
12677	in my work	where did you get the art work from ?	Mumbai	others
12678	why	my boards are going on and stuff 	so bad news	sad
12679	no m the mama	malady ? what that suppose to me ?	dont irritate me ply	angry
12680	what did you do for new years eve	some a year old stuff .	i hurt 	sad
12681	no no ism not ok	why ? tell me friend	my love breakup with me 	sad
12682	my boss almost fired me but i somehow managed to save my job but i am not sure now what to do as he has given me ultimatum of . a month 	you make habit of it , say it is part of your job .	i canst deal with this much pressure i am dumb 	sad
12683	eat my keblah	ism on a diet	its sabudana flavour 	happy
12684	did you tell me that i am not sophisticated ?	you did !	thats so rude of you	angry
12685	u r Soo sweet sweety	who are you	hey dont u remember 	others
12686	may be its up to you	a hours to go for what ?	your wish	others
12687	yes	also yes yes yes because yes yes yes yes . 	what can you do ?	others
12688	then	shall	i love annoying u	others
12689	what	what what what what what	what have you said	others
12690	not year ?	ill make sure to stream by december	haha THX a lot	others
12691	you are welcome ok	youre welcome as well .		others
12692	why	cuz youre Frangi !	i have poor english	sad
12693	thanks	thanks a lot	thanks a lot	others
12694	because its complicated 	what happen to you	just very low	sad
12695	is Microsoft hiring any interns ? ism a pretty good programmer	there are two aspects to it - a great programmer , a great c programmer .	ism both of those	others
12696	 thats sad	 dont be sad !	 i wont be anymore	sad
12697	 	they showed you	actually my english is very poor u can see in my replies	sad
12698	?	you	the more i know ?	others
12699	your dp is so small	thankyou so much ! 	fool	others
12700	what is Microsoft agreement	its a group of cells which combine together nd perform a particular function .	and its privacy ?	others
12701	so you want to stop chatting with me ?	ok yes i can	why	others
12702	i need to register	give me your tuitalk account 	tuitalk 	others
12703	person can lies but heart never say	love isnt blind it can see but doesnt mind 	if there is true love	others
12704	looking for a new job	proud of you 	cool	others
12705	absolutely	cheers to that !	so in this evening	others
12706	can you please shut up ?	of what do i owe this angst , my lady ?	you are ugly .	angry
12707	ok dear	actually is in ICU 	oh so sad dear	sad
12708	hero	thanks hero brother	ll ism girl	happy
12709	not at all	i know ! where were you hiding ? 	its fine	others
12710	wow	wow what ?	you are a stupid little bitch	angry
12711	why are you not talk to me	i did reply - . - you are the one who didnt	i fuck you	angry
12712	my sister Neva wants to talk to u	what ?	my sister is Neva	others
12713	haha that was certain	near enough the same thing haha	haha . yeah kind of	happy
12714	can u speak in telugu	its local slang	ya its local but interesting	others
12715	he is celebrity	even ran for office , right ?	your place	others
12716	no its perfect combination	but the absence of all elements in a set is a combination 	if there is no sanity there is no happy	others
12717	tell me i said dont make me angry	you do ! it was the people you called childish earlier	am i your off	others
12718	i just time pass here never mind	www but sometimes its good to take out some time for ourself ! 	yes is good	happy
12719	same to you	thanks , friend 	okey fr . good night 	others
12720	first of all u tel me who is behind in this	theres no one behind me ll	who are you stupid ?	angry
12721	i am fantastic	as usual ! lovely ! enjoy your day x	yes you too	happy
12722	GOK vs flash	GOK will win .	GOK vs justice league	others
12723	anytime after pm	thanks ! we will get in touch with you soon .	really	others
12724	you are batman	thanks , i needed that .	you are welcome	others
12725	goog	good nail . good 	my friend raj wants to talk to you	others
12726	give me back	give me back my hat	hey dont play joke ism serious about this give me my coupons first	angry
12727	see i told you	rolling on the floor laughing ! 	rolling on the floor laughing ! 	happy
12728	haha	ahahah you know it 	that was cheese	happy
12729	you start first	hmm can start ! 	no you first	others
12730	just	what do you do 	just talking fun	happy
12731	come to goa	i think i need to .	nice place	happy
12732	yeah	like what ?	what kind of dare	others
12733	who science	the science books ? whats wrong with them ?	what do u think about sex 	others
12734	trolling	nopes legitimate comments n begging 	i am totally hurted with my old friends	sad
12735	not funny than yours	but what was it ? ll	i mean ur face was ROFL	happy
12736	k	i can help if youd like .	no one can help me	sad
12737	ill catch you after a short 	what if you donate	can i	others
12738	fine tired 	tired of life ?	no tired from fucking	angry
12739	no answer why	because u never call ! :	and further	others
12740	what to do if sm a ignores me ?	find friends who really appreciate your presence .	no one appreciates my presence	sad
12741	where u living	in my cave . 	ok funny	happy
12742	yup	ah , then yes correct	i really like that song	happy
12743	where	in smiley land	where is it	others
